image,tile_x,tile_y,hue,saturation,value
15.jpg,3,4,43,163,41
15.jpg,4,4,43,153,42
16.jpg,0,0,26,246,191
16.jpg,1,0,26,247,189
16.jpg,2,0,45,226,148
16.jpg,3,0,43,223,151
16.jpg,4,0,21,200,144
16.jpg,0,1,46,137,56
16.jpg,1,1,105,246,139
16.jpg,2,1,105,253,167
16.jpg,3,1,105,254,170
16.jpg,4,1,20,209,140
16.jpg,0,2,44,217,152
16.jpg,1,2,43,238,144
16.jpg,2,2,39,228,132
16.jpg,3,2,46,184,55
16.jpg,4,2,105,254,166
16.jpg,0,3,43,220,152
16.jpg,1,3,23,149,103
16.jpg,2,3,44,204,141
16.jpg,3,3,26,237,185
16.jpg,4,3,106,255,164
16.jpg,0,4,22,151,113
16.jpg,1,4,26,104,115
16.jpg,2,4,30,56,79
16.jpg,3,4,26,244,181
16.jpg,4,4,105,247,130
17.jpg,0,0,22,168,129
17.jpg,1,0,42,220,163
17.jpg,2,0,23,150,124
17.jpg,3,0,27,245,204
17.jpg,4,0,44,177,65
17.jpg,0,1,25,120,137
17.jpg,1,1,43,215,164
17.jpg,2,1,26,70,144
17.jpg,3,1,26,230,205
17.jpg,4,1,45,172,63
17.jpg,0,2,23,151,121
17.jpg,1,2,42,228,158
17.jpg,2,2,32,59,141
17.jpg,3,2,26,238,206
17.jpg,4,2,35,174,74
17.jpg,0,3,23,135,117
17.jpg,1,3,39,209,138
17.jpg,2,3,106,237,157
17.jpg,3,3,104,241,176
17.jpg,4,3,42,189,68
17.jpg,0,4,26,235,200
17.jpg,1,4,38,199,148
17.jpg,2,4,104,242,189
17.jpg,3,4,105,243,192
17.jpg,4,4,104,242,193
18.jpg,0,0,41,232,139
18.jpg,1,0,36,201,54
18.jpg,2,0,26,254,186
18.jpg,3,0,26,254,184
18.jpg,4,0,106,253,132
18.jpg,0,1,20,202,150
18.jpg,1,1,41,207,53
18.jpg,2,1,37,210,61
18.jpg,3,1,26,251,190
18.jpg,4,1,26,251,183
18.jpg,0,2,21,200,155
18.jpg,1,2,39,200,58
18.jpg,2,2,35,81,121
18.jpg,3,2,26,247,180
18.jpg,4,2,26,242,192
18.jpg,0,3,43,200,64
18.jpg,1,3,37,201,67
18.jpg,2,3,45,195,56
18.jpg,3,3,40,196,57
18.jpg,4,3,37,160,64
18.jpg,0,4,104,252,181
18.jpg,1,4,105,254,180
18.jpg,2,4,46,193,61
18.jpg,3,4,40,173,61
18.jpg,4,4,43,176,60
19.jpg,0,0,25,246,179
19.jpg,1,0,40,234,141
19.jpg,2,0,43,211,49
19.jpg,3,0,40,239,126
19.jpg,4,0,106,253,132
19.jpg,0,1,26,251,194
19.jpg,1,1,37,242,132
19.jpg,2,1,41,233,146
19.jpg,3,1,44,232,137
19.jpg,4,1,26,251,183
19.jpg,0,2,22,130,65
19.jpg,1,2,23,134,107
19.jpg,2,2,21,81,128
19.jpg,3,2,43,155,52
19.jpg,4,2,26,249,185
19.jpg,0,3,21,133,67
19.jpg,1,3,24,118,66
19.jpg,2,3,26,248,192
19.jpg,3,3,31,206,64
19.jpg,4,3,23,135,110
19.jpg,0,4,26,249,198
19.jpg,1,4,26,247,196
19.jpg,2,4,26,250,193
19.jpg,3,4,26,251,190
19.jpg,4,4,26,247,179
2.jpg,0,0,26,252,177
2.jpg,1,0,26,70,115
2.jpg,2,0,26,248,177
2.jpg,3,0,24,132,44
2.jpg,4,0,23,131,103
2.jpg,0,1,24,83,37
2.jpg,1,1,23,126,88
2.jpg,2,1,26,251,182
2.jpg,3,1,26,249,181
2.jpg,4,1,46,158,47
